0,"['breast', 'cancer', 'risk', 'test', 'devised']"
1,"['gp', 'workload', 'harming', 'care', '-', 'bma', 'poll']"
2,"['short', ""people's"", 'heart', 'risk', 'greater']"
3,"['new', 'approach', 'against', 'hiv', 'promising']"
4,"['coalition', 'undermined', 'nhs', '-', 'doctors']"
5,"['review', 'of', 'case', 'against', 'nhs', 'manager']"
6,"['video:', 'all', 'day', 'is', 'empty,', 'what', 'am', 'i', 'going', 'to', 'do?']"
7,"['video:', 'overhaul', 'needed', 'for', 'end-of-life', 'care']"
8,"['care', 'for', 'dying', 'needs', 'overhaul']"
9,"['video:', 'nhs:', 'labour', 'and', 'tory', 'key', 'policies']"
10,"['have', 'gp', 'services', 'got', 'worse?']"
11,"['a&amp;e', 'waiting', 'hits', 'new', 'worst', 'level']"
12,"['parties', 'row', 'over', 'gp', 'opening', 'hours']"
13,"['why', 'strenuous', 'runs', 'may', 'not', 'be', 'so', 'bad', 'after', 'all']"
14,"['video:', 'health', 'surcharge', 'for', 'non-eu', 'patients']"
15,"['video:', 'skin', 'cancer', 'spike', 'from', '60s', 'holidays']"
16,"['80,000', 'might', 'die', 'in', 'future', 'outbreak']"
17,"['skin', 'cancer', 'linked', 'to', 'holiday', 'boom']"
18,"['public', 'back', 'tax', 'rises', 'to', 'fund', 'nhs']"
19,"['video:', 'welcome', 'to', 'the', 'designer', 'asylum']"
20,"['video:', 'why', 'are', 'we', 'having', 'less', 'sex?']"
21,"['five', 'ideas', 'to', 'transform', 'the', 'nhs']"
22,"['personal', 'cancer', 'vaccines', 'exciting']"
23,"['child', 'heart', 'surgery', 'deaths', 'halved']"
24,"['video:', 'miliband:', 'cameron', 'failed', 'the', 'nhs']"
25,"['unsafe', 'food', 'growing', 'global', 'threat']"
26,"['health', 'highlights']"
27,"['ambulance', 'progress', 'not', 'fast', 'enough']"
28,"['children’s', 'hospital', 'builds', 'sleep', 'app']"
29,"['drug', 'giant', 'blocks', 'eye', 'treatment']"
30,"['blood', 'test', 'for', ""down's"", 'syndrome', 'hailed']"
31,"['video:', 'we', 'must', 'plan', 'for', 'future', 'of', 'nhs']"
32,"['paracetamol', '‘no', 'good', 'for', 'back', 'pain']"
33,"['care', 'system', 'gets', 'biggest', 'shake-up']"
34,"['video:', 'could', 'existing', 'drugs', 'offer', 'ms', 'hope?']"
35,"['ms', 'drug', 'may', 'already', 'be', 'out', 'there']"
36,"['video:', 'nursing', 'code', 'of', 'conduct', 'launched']"
37,"['video:', 'disability', 'village', 'under', 'threat']"
38,"['uganda', 'circumcision', 'truck', 'fights', 'hiv']"
39,"['more', 'veterans', 'seek', 'mental', 'health', 'aid']"
40,"['e-cigarette', 'use', 'high', 'among', 'teens']"
41,"['medieval', 'eye', 'remedy', 'kills', 'mrsa']"
42,"['parents', 'rarely', 'spot', 'child', 'obesity']"
43,"['video:', 'vaccine', 'to', 'protect', 'from', 'meningitis', 'b']"
44,"['chikungunya', 'revives', 'herbal', 'remedies', 'in', 'antigua']"
45,"['the', 'bolivian', 'women', 'who', 'knit', 'parts', 'for', 'hearts']"
46,"['meningitis', 'b', 'vaccine', 'deal', 'agreed']"
47,"['video:', 'life-saving', 'knitters']"
48,"['guinea', 'declares', 'ebola', 'emergency']"
49,"['video:', 'bma', 'warning', 'on', 'seven-day', 'nhs', 'plan']"
50,"['rise', 'in', 'child', 'mental', 'health', 'issues']"
51,"['tories', 'to', 'pledge', 'seven-day', 'nhs']"
52,"['video:', 'military', 'healthcare', 'worker', 'free', 'of', 'ebola']"
53,"['nhs:', ""labour's"", 'private', 'profits', 'cap']"
54,"['british', 'medic', 'declared', 'free', 'of', 'ebola']"
55,"['labour', 'to', 'cap', 'private', 'profits', 'in', 'nhs']"
